date,time,type,occupancy,direction,elec
25-10,11.00 am,car,2,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,van,1,in,
25-10,10.30 am,van,1,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,1,in,
25-10,10.35 am,car,3,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,taxi,2,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,van,2,in,
25-10,10.40 am,bus,10,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,3,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,bus,10,in,
25-10,10.40 am,bicycle,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,4,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,motorcycle,1,in,
25-10,10.40 am,van,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,scooter,1,in,
25-10,10.40 am,car,1,in,
25-10,10.45 am,lorry,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,van,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,van,1,in,
25-10,10.45 am,bus,10,in,
25-10,10.45 am,taxi,2,in,
25-10,10.45 am,taxi,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,bicycle,1,in,
25-10,10.45 am,bicycle,1,in,
25-10,10.45 am,van,1,in,
25-10,10.45 am,bicycle,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,1,in,
25-10,10.50 am,car,4,in,
25-10,10.50 am,bicycle,1,in,
25-10,10.50 am,taxi,1,in,
25-10,10.50 am,bicycle,1,in,
25-10,10.50 am,taxi,1,in,
25-10,10.50 am,car,2,in,
25-10,10.50 am,car,2,in,
25-10,10.50 am,car,2,in,
25-10,10.50 am,car,1,in,
25-10,10.50 am,car,1,in,
25-10,10.50 am,car,3,in,
25-10,10.50 am,car,2,in,
25-10,10.50 am,scooter,1,in,
25-10,10.55 am,bicycle,1,in,
25-10,10.55 am,car,2,in,
25-10,10.55 am,car,2,in,
25-10,10.55 am,car,2,in,
25-10,10.55 am,car,3,in,
25-10,10.55 am,car,1,in,
25-10,10.55 am,van,1,in,
25-10,10.55 am,bicycle,1,in,
25-10,10.55 am,car,5,in,
25-10,10.55 am,car,2,in,
25-10,10.55 am,van,3,in,
25-10,10.55 am,taxi,2,in,
25-10,10.55 am,car,3,in,
25-10,10.55 am,bus,10,in,
25-10,10.55 am,bus,10,in,
25-10,10.55 am,car,2,in,
25-10,10.55 am,taxi,4,in,
25-10,11.00 am,car,2,in,
25-10,11.00 am,taxi,1,in,
25-10,11.00 am,car,2,in,
25-10,11.00 am,car,2,in,
25-10,11.00 am,car,2,in,
25-10,11.00 am,taxi,1,in,
25-10,11.00 am,car,1,in,
25-10,11.00 am,car,2,in,
25-10,11.00 am,car,1,in,
25-10,11.00 am,bicycle,1,in,
25-10,11.00 am,bus,75,in,
26-10,10.20 am,bus,10%,out,False
26-10,10.20 am,bicycle,1,out,False
26-10,10.20 am,car,1,out,False
26-10,10.20 am,car,2,out,False
26-10,10.20 am,car,1,out,False
26-10,10.20 am,van,1,out,True
26-10,10.20 am,car,1,out,True
26-10,10.20 am,bus,10%,out,False
26-10,10.20 am,car,1,out,False
26-10,10.20 am,car,2,out,False
26-10,10.20 am,car,2,out,False
26-10,10.20 am,car,1,out,False
26-10,10.20 am,car,2,out,False
26-10,10.20 am,bus,15%,out,False
26-10,10.20 am,car,2,out,False
26-10,10.20 am,car,2,out,False
26-10,10.25 am,car,1,out,True
26-10,10.25 am,car,1,out,False
26-10,10.25 am,car,2,out,False
26-10,10.25 am,car,1,out,True
26-10,10.25 am,car,1,out,False
26-10,10.25 am,car,1,out,False
26-10,10.25 am,motorcycle,1,out,False
26-10,10.25 am,bus,5%,out,False
26-10,10.25 am,car,2,out,False
26-10,10.25 am,car,2,out,False
26-10,10.25 am,car,2,out,True
26-10,10.25 am,car,2,out,False
26-10,10.25 am,car,3,out,False
26-10,10.25 am,car,1,out,False
26-10,10.25 am,car,1,out,False
26-10,10.25 am,car,2,out,False
26-10,10.25 am,taxi,1,out,False
26-10,10.25 am,car,2,out,False
26-10,10.25 am,car,2,out,False
26-10,10.25 am,car,1,out,False
26-10,10.25 am,car,1,out,False
26-10,10.30 am,bus,2%,out,False
26-10,10.30 am,car,2,out,True
26-10,10.30 am,taxi,1,out,False
26-10,10.30 am,car,2,out,True
26-10,10.30 am,bus,20%,out,False
26-10,10.30 am,car,3,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,4,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,1,out,False
26-10,10.30 am,car,1,out,True
26-10,10.35 am,bus,1%,out,False
26-10,10.35 am,car,2,out,False
26-10,10.35 am,bus,1%,out,False
26-10,10.35 am,car,1,out,False
26-10,10.35 am,car,1,out,False
26-10,10.35 am,bus,5%,out,False
26-10,10.35 am,car,1,out,False
26-10,10.35 am,car,1,out,False
26-10,10.35 am,car,1,out,False
26-10,10.35 am,car,2,out,False
26-10,10.35 am,car,1,out,False
26-10,10.35 am,car,1,out,True
26-10,10.35 am,car,2,out,False
26-10,10.35 am,car,1,out,False
26-10,10.35 am,car,1,out,False
26-10,10.40 am,car,1,out,False
26-10,10.40 am,van,1,out,False
26-10,10.40 am,car,1,out,False
26-10,10.40 am,van,1,out,False
26-10,10.40 am,car,3,out,False
26-10,10.40 am,car,4,out,False
26-10,10.40 am,car,1,out,False
26-10,10.40 am,car,1,out,False
26-10,10.40 am,car,1,out,False
26-10,10.40 am,bus,15%,out,False
26-10,10.45 am,car,1,out,False
26-10,10.45 am,car,1,out,False
26-10,10.45 am,bus,2%,out,False
26-10,10.45 am,van,1,out,False
26-10,10.45 am,car,1,out,False
26-10,10.45 am,taxi,1,out,False
26-10,10.45 am,car,3,out,True
26-10,10.45 am,car,1,out,False
26-10,10.45 am,bus,30%,out,False
26-10,10.45 am,car,1,out,False
26-10,10.45 am,car,1,out,False
26-10,10.45 am,van,3,out,False
26-10,10.45 am,van,2,out,False
26-10,10.45 am,car,1,out,False
26-10,10.45 am,car,2,out,False
26-10,10.45 am,bus,10%,out,False
26-10,10.45 am,car,1,out,False
26-10,10.45 am,car,1,out,False
26-10,10.45 am,bicycle,1,out,False
25-10,10.20 am,car,1,in,
25-10,10.20 am,bus,50%,in,
25-10,10.20 am,taxi,1,in,
25-10,10.20 am,car,2,in,
25-10,10.20 am,car,2,in,
25-10,10.20 am,van,1,in,
25-10,10.20 am,car,2,in,
25-10,10.20 am,lorry,1,in,
25-10,10.20 am,car,1,in,
25-10,10.20 am,car,1,in,
25-10,10.20 am,car,2,in,
25-10,10.20 am,car,1,in,
25-10,10.20 am,car,1,in,
25-10,10.20 am,car,2,in,
25-10,10.20 am,bicycle,1,in,
25-10,10.20 am,bus,10%,in,
25-10,10.20 am,taxi,1,in,
25-10,10.20 am,van,1,in,
25-10,10.20 am,car,3,in,
25-10,10.20 am,car,1,in,
25-10,10.20 am,bus,50%,in,
25-10,10.20 am,car,2,in,
25-10,10.20 am,car,1,in,
25-10,10.20 am,bicycle,1,in,
25-10,10.20 am,car,1,in,
25-10,10.20 am,car,1,in,
25-10,10.25 am,car,1,in,
25-10,10.25 am,car,2,in,
25-10,10.25 am,car,1,in,
25-10,10.25 am,motorcycle,1,in,
25-10,10.25 am,car,3,in,
25-10,10.25 am,car,2,in,
25-10,10.25 am,car,4,in,
25-10,10.25 am,car,1,in,
25-10,10.25 am,car,1,in,
25-10,10.25 am,bus,50%,in,
25-10,10.25 am,car,4,in,
25-10,10.25 am,car,1,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,van,1,in,
25-10,10.30 am,lorry,1,in,
25-10,10.30 am,bus,50%,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,3,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,van,3,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,bicycle,1,in,
25-10,10.30 am,car,2,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,1,in,
25-10,10.30 am,car,1,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,van,1,in,
25-10,10.35 am,car,3,in,
25-10,10.35 am,car,3,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,bicycle,1,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,bus,25%,in,
25-10,10.35 am,lorry,1,in,
25-10,10.35 am,bus,50%,in,
25-10,10.35 am,car,3,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,1,in,
25-10,10.40 am,bus,50%,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,taxi,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,van,3,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,van,3,in,
25-10,10.40 am,bicycle,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,bus,1,in,
25-10,10.40 am,car,4,in,
25-10,10.40 am,van,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,1,in,
25-10,10.45 am,van,1,in,
25-10,10.45 am,lorry,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,3,in,
25-10,10.45 am,car,3,in,
25-10,10.45 am,car,3,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,taxi,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,van,3,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,1,in,
25-10,10.50 am,bus,1,in,
25-10,10.30 am,car,1,out,False
25-10,10.30 am,taxi,3,out,False
25-10,10.31 am,taxi,2,out,False
25-10,10.31 am,car,4,out,False
25-10,10.31 am,car,1,out,False
25-10,10.32 am,car,1,out,False
25-10,10.33 am,van,1,out,False
25-10,10.33 am,lorry,1,out,False
25-10,10.33 am,car,2,out,True
25-10,10.34 am,car,1,out,False
25-10,10.34 am,car,1,out,False
25-10,10.34 am,car,1,out,True
25-10,10.35 am,car,3,out,False
25-10,10.36 am,car,2,out,False
25-10,10.36 am,car,1,out,False
25-10,10.37 am,taxi,4,out,False
25-10,10.39 am,bus,20%,out,False
25-10,10.40 am,bus,20%,out,False
25-10,10.40 am,bus,10%,out,False
25-10,10.40 am,car,3,out,True
25-10,10.41 am,bus,10%,out,True
25-10,10.41 am,van,1,out,False
25-10,10.42 am,bicycle,1,out,True
25-10,10.42 am,car,1,out,False
25-10,10.42 am,car,1,out,False
25-10,10.43 am,car,2,out,True
25-10,10.44 am,lorry,1,out,False
25-10,10.45 am,taxi,3,out,False
25-10,10.45 am,taxi,2,out,False
25-10,10.45 am,car,1,out,False
25-10,10.46 am,car,1,out,True
25-10,10.46 am,car,1,out,False
25-10,10.47 am,car,2,out,False
25-10,10.47 am,car,2,out,True
25-10,10.47 am,car,1,out,False
25-10,10.48 am,bus,20%,out,False
25-10,10.49 am,bus,0%,out,False
25-10,10.49 am,bus,15%,out,False
25-10,10.49 am,car,2,out,True
25-10,10.49 am,bus,50%,out,False
25-10,10.50 am,car,3,out,True
25-10,10.51 am,car,1,out,True
25-10,10.53 am,car,1,out,False
25-10,10.53 am,car,1,out,True
25-10,10.53 am,taxi,2,out,False
25-10,10.54 am,lorry,1,out,False
25-10,10.54 am,car,2,out,False
25-10,10.55 am,taxi,1,out,False
25-10,10.56 am,lorry,1,out,True
25-10,10.56 am,car,1,out,False
25-10,10.56 am,car,3,out,False
25-10,10.57 am,car,4,out,False
25-10,10.57 am,car,3,out,True
25-10,10.57 am,car,1,out,True
25-10,09.01 am,car,1,out,
25-10,09.01 am,van,1,out,
25-10,09.01 am,car,1,out,
25-10,09.01 am,van,1,out,
25-10,09.01 am,car,1,out,
25-10,09.01 am,van,2,out,
25-10,09.01 am,car,1,out,
25-10,09.01 am,car,1,out,
25-10,09.01 am,car,1,out,
25-10,09.01 am,car,1,out,
25-10,09.01 am,car,1,out,
25-10,09.01 am,car,1,out,
25-10,09.06 am,taxi,1,out,
25-10,09.06 am,van,2,out,
25-10,09.06 am,lorry,1,out,
25-10,09.06 am,taxi,1,out,
25-10,09.06 am,taxi,1,out,
25-10,09.06 am,car,2,out,
25-10,09.06 am,taxi,1,out,
25-10,09.06 am,car,1,out,
25-10,09.06 am,car,1,out,
25-10,09.06 am,car,1,out,
25-10,09.06 am,motorcycle,1,out,
25-10,09.06 am,taxi,1,out,
25-10,09.06 am,car,1,out,
25-10,09.11 am,car,1,out,
25-10,09.11 am,motorcycle,1,out,
25-10,09.11 am,van,1,out,
25-10,09.11 am,car,2,out,
25-10,09.11 am,van,1,out,
25-10,09.11 am,car,1,out,
25-10,09.11 am,car,1,out,
25-10,09.11 am,car,2,out,
25-10,09.11 am,car,1,out,
25-10,09.11 am,car,1,out,
25-10,09.16 am,car,1,out,
25-10,09.16 am,van,1,out,
25-10,09.16 am,car,1,out,
25-10,09.16 am,van,1,out,
25-10,09.16 am,car,1,out,
25-10,09.21 am,car,1,out,
25-10,09.21 am,taxi,1,out,
25-10,09.21 am,car,1,out,
25-10,09.21 am,car,1,out,
25-10,09.21 am,car,1,out,
25-10,09.26 am,car,1,out,
25-10,09.26 am,car,1,out,
25-10,09.26 am,car,1,out,
25-10,09.26 am,taxi,1,out,
25-10,09.26 am,car,1,out,
25-10,09.26 am,taxi,1,out,
25-10,09.26 am,car,1,out,
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,van,1,in,False
26-10,10.00 am,car,2,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,2,in,False
26-10,10.00 am,bus,20%,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,2,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,bus,20%,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,taxi,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,bicycle,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,bus,40%,in,False
26-10,10.00 am,car,3,in,False
26-10,10.00 am,car,2,in,False
26-10,10.00 am,car,1,in,False
26-10,10.00 am,van,2,in,False
26-10,10.00 am,car,2,in,False
26-10,10.05 am,car,1,in,False
26-10,10.05 am,car,1,in,False
26-10,10.05 am,car,2,in,False
26-10,10.05 am,car,1,in,False
26-10,10.05 am,car,1,in,False
26-10,10.05 am,taxi,2,in,False
26-10,10.05 am,car,4,in,False
26-10,10.05 am,van,1,in,False
26-10,10.05 am,car,1,in,False
26-10,10.05 am,bicycle,1,in,False
26-10,10.05 am,bus,10%,in,False
26-10,10.05 am,taxi,2,in,False
26-10,10.05 am,bus,10%,in,False
26-10,10.05 am,bus,5%,in,False
26-10,10.05 am,car,3,in,False
26-10,10.05 am,car,2,in,False
26-10,10.05 am,taxi,2,in,False
26-10,10.05 am,car,1,in,False
26-10,10.05 am,car,1,in,False
26-10,10.10 am,car,2,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,van,1,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,bus,30%,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,car,1,in,True
26-10,10.10 am,bus,5%,in,False
26-10,10.10 am,car,2,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,car,4,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,car,1,in,False
26-10,10.10 am,car,1,in,False
26-10,10.15 am,car,2,in,False
26-10,10.15 am,car,2,in,False
26-10,10.15 am,car,1,in,False
26-10,10.15 am,car,1,in,False
26-10,10.15 am,car,1,in,False
26-10,10.15 am,car,1,in,False
26-10,10.15 am,car,2,in,True
26-10,10.15 am,car,1,in,False
26-10,10.15 am,car,2,in,False
26-10,10.15 am,lorry,1,in,False
26-10,10.15 am,car,2,in,False
26-10,10.15 am,car,1,in,False
26-10,10.15 am,car,1,in,False
26-10,10.15 am,car,2,in,False
26-10,10.15 am,car,2,in,False
26-10,10.15 am,car,1,in,False
26-10,10.15 am,car,1,in,False
26-10,10.15 am,van,1,in,False
26-10,10.15 am,bus,20%,in,False
26-10,10.15 am,motorcycle,1,in,False
26-10,10.20 am,car,2,in,False
26-10,10.20 am,bicycle,1,in,False
26-10,10.20 am,car,2,in,False
26-10,10.20 am,car,1,in,False
26-10,10.20 am,bus,30%,in,False
26-10,10.20 am,car,2,in,False
26-10,10.20 am,van,1,in,False
26-10,10.20 am,van,1,in,False
26-10,10.20 am,car,1,in,False
26-10,10.20 am,car,1,in,False
26-10,10.20 am,car,1,in,False
26-10,10.20 am,car,1,in,False
26-10,10.20 am,car,1,in,False
26-10,10.20 am,car,1,in,False
26-10,10.20 am,bicycle,1,in,False
26-10,10.20 am,van,2,in,False
26-10,10.20 am,car,1,in,False
26-10,10.20 am,car,2,in,False
26-10,10.20 am,car,2,in,False
26-10,10.25 am,car,3,in,False
26-10,10.25 am,car,2,in,False
26-10,10.25 am,van,2,in,False
26-10,10.25 am,car,2,in,False
26-10,10.25 am,van,1,in,False
26-10,10.25 am,bus,15%,in,False
26-10,10.25 am,car,2,in,False
26-10,10.25 am,bus,20%,in,False
26-10,10.25 am,taxi,2,in,False
26-10,10.25 am,car,1,in,False
26-10,10.25 am,car,1,in,False
26-10,10.25 am,car,1,in,False
26-10,10.25 am,lorry,1,in,False
26-10,10.25 am,car,2,in,False
26-10,10.25 am,car,2,in,False
26-10,10.25 am,car,4,in,False
26-10,10.25 am,car,1,in,False
26-10,10.25 am,car,2,in,False
26-10,10.25 am,car,1,in,False
26-10,10.25 am,car,1,in,False
26-10,10.25 am,taxi,2,in,False
26-10,10.25 am,van,1,in,False
26-10,10.25 am,bus,50%,in,False
26-10,10.25 am,car,2,in,False
26-10,10.30 am,bicycle,1,in,False
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,1,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,2,in,
27-10,10.30 am,car,3,in,
27-10,10.30 am,car,3,in,
27-10,10.30 am,car,3,in,
27-10,10.30 am,car,3,in,
27-10,10.30 am,bus,80%,in,
27-10,10.30 am,bus,80%,in,
27-10,10.30 am,bus,100%,in,
27-10,10.30 am,lorry,1,in,
27-10,10.30 am,car,1,out,
27-10,10.30 am,car,1,out,
27-10,10.30 am,car,1,out,
27-10,10.30 am,car,1,out,
27-10,10.30 am,car,1,out,
27-10,10.30 am,car,2,out,
27-10,10.30 am,car,2,out,
27-10,10.30 am,car,2,out,
27-10,10.30 am,car,2,out,
27-10,10.30 am,bus,0%,out,
27-10,10.30 am,bus,20%,out,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,1,in,
27-10,10.35 am,car,2,in,
27-10,10.35 am,car,2,in,
27-10,10.35 am,car,2,in,
27-10,10.35 am,car,2,in,
27-10,10.35 am,car,2,in,
27-10,10.35 am,car,2,in,
27-10,10.35 am,car,2,in,
27-10,10.35 am,car,3,in,
27-10,10.35 am,car,3,in,
27-10,10.35 am,car,3,in,
27-10,10.35 am,car,4,in,
27-10,10.35 am,car,4,in,
27-10,10.35 am,car,4,in,
27-10,10.35 am,car,5,in,
27-10,10.35 am,bus,60%,in,
27-10,10.35 am,bus,80%,in,
27-10,10.35 am,bus,80%,in,
27-10,10.35 am,bus,100%,in,
27-10,10.35 am,bus,100%,in,
27-10,10.35 am,car,1,out,
27-10,10.35 am,car,1,out,
27-10,10.35 am,car,1,out,
27-10,10.35 am,car,1,out,
27-10,10.35 am,car,1,out,
27-10,10.35 am,car,2,out,
27-10,10.35 am,car,2,out,
27-10,10.35 am,car,2,out,
27-10,10.35 am,car,2,out,
27-10,10.35 am,car,2,out,
27-10,10.35 am,car,2,out,
27-10,10.35 am,car,3,out,
27-10,10.35 am,bus,20%,out,
27-10,10.35 am,bus,20%,out,
27-10,10.35 am,bus,40%,out,
27-10,10.35 am,taxi,3,out,
27-10,10.35 am,van,1,out,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,1,in,
27-10,10.40 am,car,2,in,
27-10,10.40 am,car,2,in,
27-10,10.40 am,car,2,in,
27-10,10.40 am,car,2,in,
27-10,10.40 am,car,2,in,
27-10,10.40 am,car,2,in,
27-10,10.40 am,car,2,in,
27-10,10.40 am,car,3,in,
27-10,10.40 am,car,3,in,
27-10,10.40 am,car,3,in,
27-10,10.40 am,car,4,in,
27-10,10.40 am,car,4,in,
27-10,10.40 am,car,4,in,
27-10,10.40 am,car,4,in,
27-10,10.40 am,car,5,in,
27-10,10.40 am,bus,60%,in,
27-10,10.40 am,bus,60%,in,
27-10,10.40 am,bus,80%,in,
27-10,10.40 am,bus,100%,in,
27-10,10.40 am,taxi,2,in,
27-10,10.40 am,motorcycle,1,in,
27-10,10.40 am,van,1,in,
27-10,10.40 am,van,1,in,
27-10,10.40 am,car,1,out,
27-10,10.40 am,car,1,out,
27-10,10.40 am,car,1,out,
27-10,10.40 am,car,1,out,
27-10,10.40 am,car,1,out,
27-10,10.40 am,car,1,out,
27-10,10.40 am,car,2,out,
27-10,10.40 am,car,2,out,
27-10,10.40 am,car,3,out,
27-10,10.40 am,car,5,out,
27-10,10.40 am,bus,0%,out,
